[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.029763s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029846s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000501s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000433s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000223s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.001143s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002474s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000523s ]
[ 2015-02-08T00:00:44+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000598s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ route_check ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run CheckRoute Behavior [ RunTime:0.001874s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002007s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ app_begin ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001893s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004295s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=0 LIMIT 1   [ RunTime:0.008293s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | SQL: SELECT * FROM `think_article` WHERE isSubmitted=0 LIMIT 10,5   [ RunTime:0.000201s ]
